State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), Operating Time, # of Months Reported, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, County, Source Category, Owner, Operator, Representative (Primary), Representative (Secondary), SO2 Phase, NOx Phase, Operating Status, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Facility Latitude, Facility Longitude
AL,AMEA Sylacauga Plant,56018,1,blank,2016,ARP,605,12,24735,blank,0.079,0.0771,10.474,16010.1,271329.2,4,SERC,Talladega County,Electric Utility,Alabama Municipal Electric Authority,Alabama Municipal Electric Authority,"CSNOX : Timothy M Foster (601983),CAIRNOX : Timothy M Foster (601983) (Ended Aug 11, 2016),CSOSG2 : Timothy M Foster (601983) (Started Dec 14, 2016),CSNOXOS : Timothy M Foster (601983),CSSO2G2 : Timothy M Foster (601983),CAIROS : Timothy M Foster (601983) (Ended Aug 11, 2016),ARP : Timothy M Foster (601983)","CSNOX : ,CAIRNOX : ,CSOSG2 : ,CSNOXOS : ,CSSO2G2 : ,CAIROS : ,ARP : ",Phase 2,blank,Operating,Combustion turbine,Pipeline Natural Gas,,blank,Water Injection,,blank,33.1661,-86.2825
AL,AMEA Sylacauga Plant,56018,2,,2016,ARP,579,12,23427,,0.073,0.081,10.375,15102.4,256100.3,4,SERC,Talladega County,Electric Utility,Alabama Municipal Electric Authority,Alabama Municipal Electric Authority,"CAIROS : Timothy M Foster (601983) (Ended Aug 11, 2016),CAIRNOX : Timothy M Foster (601983) (Ended Aug 11, 2016),ARP : Timothy M Foster (601983),CSSO2G2 : Timothy M Foster (601983),CSNOX : Timothy M Foster (601983),CSOSG2 : Timothy M Foster (601983) (Started Dec 14, 2016),CSNOXOS : Timothy M Foster (601983)","CAIROS : ,CAIRNOX : ,ARP : ,CSSO2G2 : ,CSNOX : ,CSOSG2 : ,CSNOXOS : ",Phase 2,,Operating,Combustion turbine,Pipeline Natural Gas,,,Water Injection,,,33.1661,-86.2825
AL,Barry,3,1,CS0AAN,2016,ARP,524.5,12,11856,,1.084,0.0677,6.9,10953.057,184780.525,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"ARP : Larry S Monroe (607509),CSNOX : Larry S Monroe (607509),CAIRNOX : Larry S Monroe (607509) (Ended Aug 11, 2016),MATS : Larry S Monroe (607509),CSNOXOS : Larry S Monroe (607509),CSSO2G2 : Larry S Monroe (607509),CSOSG2 : Larry S Monroe (607509) (Started Dec 14, 2016),CAIROS : Larry S Monroe (607509) (Ended Aug 11, 2016)","ARP : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CAIRNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),MATS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSNOXOS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSSO2G2 : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSOSG2 : Susan B Comensky (605449) (Started Dec 14, 2016),CAIROS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016)",Phase 2,Phase 2 Group 1,Operating,Tangentially-fired,Pipeline Natural Gas,,,Low NOx Burner Technology w/ Closed-coupled OFA<br>Selective Non-catalytic Reduction,Electrostatic Precipitator,,31.0069,-88.0103
AL,Barry,3,2,CS0AAN,2016,ARP,528.5,12,11983,,1.122,0.0674,6.989,11196.12,188881.7,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"MATS : Larry S Monroe (607509),CSNOX : Larry S Monroe (607509),ARP : Larry S Monroe (607509),CAIRNOX : Larry S Monroe (607509) (Ended Aug 11, 2016),CSOSG2 : Larry S Monroe (607509) (Started Dec 14, 2016),CSNOXOS : Larry S Monroe (607509),CAIROS : Larry S Monroe (607509) (Ended Aug 11, 2016),CSSO2G2 : Larry S Monroe (607509)","MATS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),ARP : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CAIRNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),CSOSG2 : Susan B Comensky (605449) (Started Dec 14, 2016),CSNOXOS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CAIROS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),CSSO2G2 : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 1,Operating,Tangentially-fired,Pipeline Natural Gas,,,Low NOx Burner Technology w/ Closed-coupled OFA<br>Selective Non-catalytic Reduction,Electrostatic Precipitator,,31.0069,-88.0103
AL,Barry,3,4,,2016,ARP,6727.75,12,1188304.25,,5155.829,0.4325,2478.187,1256080.625,1.22E+07,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"CAIRNOX : Larry S Monroe (607509) (Ended Aug 11, 2016),CSSO2G2 : Larry S Monroe (607509),CSNOXOS : Larry S Monroe (607509),CSOSG2 : Larry S Monroe (607509) (Started Dec 14, 2016),MATS : Larry S Monroe (607509),CAIROS : Larry S Monroe (607509) (Ended Aug 11, 2016),ARP : Larry S Monroe (607509),CSNOX : Larry S Monroe (607509)","CAIRNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),CSSO2G2 : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSNOXOS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSOSG2 : Susan B Comensky (605449) (Started Dec 14, 2016),MATS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CAIROS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),ARP : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 1,Operating,Tangentially-fired,Coal,Pipeline Natural Gas,,Low NOx Burner Technology w/ Separated OFA<br>Selective Non-catalytic Reduction,Electrostatic Precipitator,"Halogenated PAC Sorbent Injection (Began Feb 24, 2016)",31.0069,-88.0103
AL,Barry,3,5,"MS5C, MS5D, MS5E",2016,ARP,6324.5,12,3496492.25,,244.597,0.0859,1370.506,3408860.15,3.32E+07,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"MATS : Larry S Monroe (607509),CSNOX : Larry S Monroe (607509),CSOSG2 : Larry S Monroe (607509) (Started Dec 14, 2016),CSNOXOS : Larry S Monroe (607509),CSSO2G2 : Larry S Monroe (607509),CAIRNOX : Larry S Monroe (607509) (Ended Aug 11, 2016),CAIROS : Larry S Monroe (607509) (Ended Aug 11, 2016),ARP : Larry S Monroe (607509)","MATS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSOSG2 : Susan B Comensky (605449) (Started Dec 14, 2016),CSNOXOS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSSO2G2 : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CAIRNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),CAIROS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),ARP : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 1,Operating,Tangentially-fired,Coal,Pipeline Natural Gas,Wet Limestone,Low NOx Burner Technology w/ Separated OFA<br>Selective Catalytic Reduction,Electrostatic Precipitator,"Catalyst (gold, palladium, or other) used to oxidize mercury (Began Apr 16, 2016)",31.0069,-88.0103
AL,Barry,3,6A,,2016,ARP,8420.75,12,2195462.75,,4.544,0.0084,61.055,900194.325,1.51E+07,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"CSNOXOS : Larry S Monroe (607509),CSOSG2 : Larry S Monroe (607509) (Started Dec 14, 2016),ARP : Larry S Monroe (607509),CAIROS : Larry S Monroe (607509) (Ended Aug 11, 2016),CAIRNOX : Larry S Monroe (607509) (Ended Aug 11, 2016),CSNOX : Larry S Monroe (607509),CSSO2G2 : Larry S Monroe (607509),MATS : Larry S Monroe (607509)","CSNOXOS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSOSG2 : Susan B Comensky (605449) (Started Dec 14, 2016),ARP : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CAIROS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),CAIRNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),CSNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSSO2G2 : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),MATS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,31.0069,-88.0103
AL,Barry,3,6B,,2016,ARP,7816,12,2032196.5,,4.277,0.0085,57.772,847290.05,1.43E+07,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"CAIROS : Larry S Monroe (607509) (Ended Aug 11, 2016),CAIRNOX : Larry S Monroe (607509) (Ended Aug 11, 2016),ARP : Larry S Monroe (607509),CSNOX : Larry S Monroe (607509),CSOSG2 : Larry S Monroe (607509) (Started Dec 14, 2016),CSNOXOS : Larry S Monroe (607509),CSSO2G2 : Larry S Monroe (607509),MATS : Larry S Monroe (607509)","CAIROS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),CAIRNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),ARP : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSOSG2 : Susan B Comensky (605449) (Started Dec 14, 2016),CSNOXOS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSSO2G2 : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),MATS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,31.0069,-88.0103
AL,Barry,3,7A,,2016,ARP,8174,12,2141499.25,,4.507,0.0085,61.141,892825.225,1.50E+07,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"CSSO2G2 : Larry S Monroe (607509),CSNOXOS : Larry S Monroe (607509),CAIROS : Larry S Monroe (607509) (Ended Aug 11, 2016),CSNOX : Larry S Monroe (607509),CSOSG2 : Larry S Monroe (607509) (Started Dec 14, 2016),CAIRNOX : Larry S Monroe (607509) (Ended Aug 11, 2016),ARP : Larry S Monroe (607509),MATS : Larry S Monroe (607509)","CSSO2G2 : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSNOXOS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CAIROS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),CSNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSOSG2 : Susan B Comensky (605449) (Started Dec 14, 2016),CAIRNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),ARP : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),MATS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,31.0069,-88.0103
AL,Barry,3,7B,,2016,ARP,8407.75,12,2171607.5,,4.586,0.0083,61.835,908382.925,1.53E+07,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"CSOSG2 : Larry S Monroe (607509) (Started Dec 14, 2016),CSNOXOS : Larry S Monroe (607509),CAIROS : Larry S Monroe (607509) (Ended Aug 11, 2016),CSNOX : Larry S Monroe (607509),MATS : Larry S Monroe (607509),CSSO2G2 : Larry S Monroe (607509),CAIRNOX : Larry S Monroe (607509) (Ended Aug 11, 2016),ARP : Larry S Monroe (607509)","CSOSG2 : Susan B Comensky (605449) (Started Dec 14, 2016),CSNOXOS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CAIROS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),CSNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),MATS : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CSSO2G2 : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016),CAIRNOX : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016) (Ended Aug 11, 2016),ARP : Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,31.0069,-88.0103
