State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), EPA Region, NERC Region, County, County Code, FIPS Code, Source Category, Facility Latitude, Facility Longitude, Owner, Operator, Representative (Primary), Representative (Secondary), SO2 Phase, NOx Phase, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Commercial Operation Date, Operating Status, Max Hourly HI Rate (MMBtu/hr)
AL,AMEA Sylacauga Plant,56018,1,blank,2016,"CSNOX, CSNOXOS, CSSO2G2, ARP",4,SERC,Talladega County,AL121,121,Electric Utility,33.1661,-86.2825,Alabama Municipal Electric Authority,Alabama Municipal Electric Authority,Timothy M Foster (601983),,Phase 2,blank,Combustion turbine,Pipeline Natural Gas,,blank,Water Injection,blank,blank,5/4/04,Operating,500
AL,AMEA Sylacauga Plant,56018,2,,2016,"CSNOX, CSNOXOS, CSSO2G2, ARP",4,SERC,Talladega County,AL121,121,Electric Utility,33.1661,-86.2825,Alabama Municipal Electric Authority,Alabama Municipal Electric Authority,Timothy M Foster (601983),,Phase 2,,Combustion turbine,Pipeline Natural Gas,,,Water Injection,,,5/4/04,Operating,500
AL,Barry,3,1,CS0AAN,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Mobile County,AL097,97,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 1,Tangentially-fired,Pipeline Natural Gas,,,Low NOx Burner Technology w/ Closed-coupled OFA<br>Selective Non-catalytic Reduction,Electrostatic Precipitator,,2/12/54,Operating,2322
AL,Barry,3,2,CS0AAN,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Mobile County,AL097,97,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 1,Tangentially-fired,Pipeline Natural Gas,,,Low NOx Burner Technology w/ Closed-coupled OFA<br>Selective Non-catalytic Reduction,Electrostatic Precipitator,,7/12/54,Operating,2359
AL,Barry,3,4,,2016,"ARP, MATS, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Mobile County,AL097,97,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 1,Tangentially-fired,Coal,Pipeline Natural Gas,,Low NOx Burner Technology w/ Separated OFA<br>Selective Non-catalytic Reduction,Electrostatic Precipitator,"Halogenated PAC Sorbent Injection (Began Feb 24, 2016)",12/31/69,Operating,6372
AL,Barry,3,5,"MS5C, MS5D, MS5E",2016,"ARP, MATS, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Mobile County,AL097,97,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 1,Tangentially-fired,Coal,Pipeline Natural Gas,Wet Limestone,Low NOx Burner Technology w/ Separated OFA<br>Selective Catalytic Reduction,Electrostatic Precipitator,"Catalyst (gold, palladium, or other) used to oxidize mercury (Began Apr 16, 2016)",10/19/71,Operating,11057
AL,Barry,3,6A,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Mobile County,AL097,97,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,3/14/00,Operating,3000
AL,Barry,3,6B,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Mobile County,AL097,97,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,3/21/00,Operating,3000
AL,Barry,3,7A,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Mobile County,AL097,97,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,1/13/01,Operating,3000
AL,Barry,3,7B,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Mobile County,AL097,97,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,1/18/01,Operating,3000
AL,Calhoun Energy Center,55409,CT1,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,,Calhoun County,AL015,15,Electric Utility,33.5883,-85.9731,"Calhoun Power Company I, LLC","Calhoun Power Company I, LLC","Kathy French (605624) (Ended May 20, 2016)<br>Michael Carter (607869) (Started May 20, 2016)","D Blake Wheatley (1056) (Ended Jan 06, 2016)<br>Scott Weis (602951) (Started Jan 06, 2016) (Ended May 20, 2016)<br>Michael Carter (607869) (Started May 20, 2016) (Ended May 20, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection,,,1/30/03,Operating,1940
AL,Calhoun Energy Center,55409,CT2,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,,Calhoun County,AL015,15,Electric Utility,33.5883,-85.9731,"Calhoun Power Company I, LLC","Calhoun Power Company I, LLC","Kathy French (605624) (Ended May 20, 2016)<br>Michael Carter (607869) (Started May 20, 2016)","D Blake Wheatley (1056) (Ended Jan 06, 2016)<br>Scott Weis (602951) (Started Jan 06, 2016) (Ended May 20, 2016)<br>Michael Carter (607869) (Started May 20, 2016) (Ended May 20, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection,,,2/26/03,Operating,1940
AL,Calhoun Energy Center,55409,CT3,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,,Calhoun County,AL015,15,Electric Utility,33.5883,-85.9731,"Calhoun Power Company I, LLC","Calhoun Power Company I, LLC","Kathy French (605624) (Ended May 20, 2016)<br>Michael Carter (607869) (Started May 20, 2016)","D Blake Wheatley (1056) (Ended Jan 06, 2016)<br>Scott Weis (602951) (Started Jan 06, 2016) (Ended May 20, 2016)<br>Michael Carter (607869) (Started May 20, 2016) (Ended May 20, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection,,,3/25/03,Operating,1940
AL,Calhoun Energy Center,55409,CT4,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,,Calhoun County,AL015,15,Electric Utility,33.5883,-85.9731,"Calhoun Power Company I, LLC","Calhoun Power Company I, LLC","Kathy French (605624) (Ended May 20, 2016)<br>Michael Carter (607869) (Started May 20, 2016)","D Blake Wheatley (1056) (Ended Jan 06, 2016)<br>Scott Weis (602951) (Started Jan 06, 2016) (Ended May 20, 2016)<br>Michael Carter (607869) (Started May 20, 2016) (Ended May 20, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection,,,4/23/03,Operating,1940
AL,Charles R Lowman,56,1,"CS004, MS001",2016,"CSNOX, CSNOXOS, CSSO2G2, ARP, MATS",4,SERC,Washington County,AL129,129,Electric Utility,31.4858,-87.9106,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",David H Powell (607466),Keith M Stephens (838),Phase 2,Phase 2 Group 1,Dry bottom wall-fired boiler,Coal,,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,3/1/69,Operating,1119
AL,Charles R Lowman,56,2,CS004,2016,"CSNOX, CSNOXOS, CSSO2G2, ARP, MATS",4,SERC,Washington County,AL129,129,Electric Utility,31.4858,-87.9106,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",David H Powell (607466),Keith M Stephens (838),Phase 2,Early Election,Dry bottom wall-fired boiler,Coal,,Wet Limestone,Selective Catalytic Reduction<br>Overfire Air,Electrostatic Precipitator,,3/1/79,Operating,3103
