,datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable,timedate,Hour,Day,Month,Year
0,1/1/2016 5:00,1/1/2016 0:00,Wind,2263.5,0.03,TRUE,1/1/2016 0:00,0,1,1,2016
3,1/1/2016 5:00,1/1/2016 0:00,Hydro,682.9,0.01,TRUE,1/1/2016 0:00,0,1,1,2016
8,1/1/2016 5:00,1/1/2016 0:00,Other Renewables,644.5,0.01,TRUE,1/1/2016 0:00,0,1,1,2016
9,1/1/2016 5:00,1/1/2016 0:00,Solar,0,0,TRUE,1/1/2016 0:00,0,1,1,2016
13,1/1/2016 6:00,1/1/2016 1:00,Hydro,641.2,0.01,TRUE,1/1/2016 1:00,1,1,1,2016
17,1/1/2016 6:00,1/1/2016 1:00,Other Renewables,619.6,0.01,TRUE,1/1/2016 1:00,1,1,1,2016
18,1/1/2016 6:00,1/1/2016 1:00,Solar,0,0,TRUE,1/1/2016 1:00,1,1,1,2016
20,1/1/2016 6:00,1/1/2016 1:00,Wind,2366.4,0.03,TRUE,1/1/2016 1:00,1,1,1,2016
25,1/1/2016 7:00,1/1/2016 2:00,Hydro,622.5,0.01,TRUE,1/1/2016 2:00,2,1,1,2016
27,1/1/2016 7:00,1/1/2016 2:00,Wind,2543.3,0.03,TRUE,1/1/2016 2:00,2,1,1,2016
29,1/1/2016 7:00,1/1/2016 2:00,Other Renewables,629.2,0.01,TRUE,1/1/2016 2:00,2,1,1,2016
30,1/1/2016 7:00,1/1/2016 2:00,Solar,0,0,TRUE,1/1/2016 2:00,2,1,1,2016
36,1/1/2016 8:00,1/1/2016 3:00,Hydro,520.1,0.01,TRUE,1/1/2016 3:00,3,1,1,2016
38,1/1/2016 8:00,1/1/2016 3:00,Wind,2244.9,0.03,TRUE,1/1/2016 3:00,3,1,1,2016
40,1/1/2016 8:00,1/1/2016 3:00,Other Renewables,607.1,0.01,TRUE,1/1/2016 3:00,3,1,1,2016
41,1/1/2016 8:00,1/1/2016 3:00,Solar,0,0,TRUE,1/1/2016 3:00,3,1,1,2016
46,1/1/2016 9:00,1/1/2016 4:00,Hydro,572.8,0.01,TRUE,1/1/2016 4:00,4,1,1,2016
50,1/1/2016 9:00,1/1/2016 4:00,Other Renewables,645.1,0.01,TRUE,1/1/2016 4:00,4,1,1,2016
51,1/1/2016 9:00,1/1/2016 4:00,Solar,0,0,TRUE,1/1/2016 4:00,4,1,1,2016
53,1/1/2016 9:00,1/1/2016 4:00,Wind,2287.8,0.03,TRUE,1/1/2016 4:00,4,1,1,2016
58,1/1/2016 10:00,1/1/2016 5:00,Hydro,623.8,0.01,TRUE,1/1/2016 5:00,5,1,1,2016
60,1/1/2016 10:00,1/1/2016 5:00,Wind,2549.3,0.03,TRUE,1/1/2016 5:00,5,1,1,2016
64,1/1/2016 10:00,1/1/2016 5:00,Other Renewables,642.5,0.01,TRUE,1/1/2016 5:00,5,1,1,2016
65,1/1/2016 10:00,1/1/2016 5:00,Solar,0,0,TRUE,1/1/2016 5:00,5,1,1,2016
68,1/1/2016 11:00,1/1/2016 6:00,Hydro,650.5,0.01,TRUE,1/1/2016 6:00,6,1,1,2016
71,1/1/2016 11:00,1/1/2016 6:00,Other Renewables,637.5,0.01,TRUE,1/1/2016 6:00,6,1,1,2016
72,1/1/2016 11:00,1/1/2016 6:00,Solar,0,0,TRUE,1/1/2016 6:00,6,1,1,2016
74,1/1/2016 11:00,1/1/2016 6:00,Wind,2498.7,0.03,TRUE,1/1/2016 6:00,6,1,1,2016
80,1/1/2016 12:00,1/1/2016 7:00,Hydro,720.7,0.01,TRUE,1/1/2016 7:00,7,1,1,2016
83,1/1/2016 12:00,1/1/2016 7:00,Other Renewables,637,0.01,TRUE,1/1/2016 7:00,7,1,1,2016
84,1/1/2016 12:00,1/1/2016 7:00,Solar,0,0,TRUE,1/1/2016 7:00,7,1,1,2016
