,DOE/EIA ORIS plant or facility code,Facility Name,Fuel Cost ($/MMBtu),Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),Plant nameplate capacity (MW),Plant primary coal/oil/gas/ other fossil fuel category,State,Running Capacity (MW)
0,,,,,0.0,620.5,WIND,,620.5
1,,,,,0.0,0.0,STORAGE,,620.5
2,,,,,0.0,37.7,SOLAR,,658.2
3,,,,,0.0,479.4,OTHER RENEWABLES,,1137.6
4,,,,,0.0,29962.7,NUCLEAR,,31100.3
5,,,,,0.0,627.8,HYDRO,,31728.1
6,52019,Doswell Limited Partnership,2.33,1.6313023610053314,3.8009345011424225,1313,GAS,VA,33041.1
7,2399,Burlington Generating Station,2.33,2.2612942612942613,5.268815628815629,819,GAS,NJ,33860.1
8,1353,Big Sandy,2.33,2.290299051787017,5.33639679066375,1096.8,GAS,KY,34956.9
9,3113,Portland,2.33,3.140096618357488,7.316425120772948,621,GAS,PA,35577.9
10,55524,York Energy Center,2.33,3.1540716197272842,7.348986873964573,1569.4,GAS,PA,37147.3
11,2404,Kearny Generating Station,2.33,3.3606844799775577,7.8303948383477096,1425.9,GAS,NJ,38573.200000000004
12,2378,B L England,2.244055172413792,4.188416604523987,9.399037945605864,804.6,COAL,NJ,39377.8
13,1559,Riverside,2.33,4.199066874027994,9.783825816485226,257.2,GAS,MD,39635.0
14,2434,Howard M Down,2.33,4.397981254506129,10.247296322999281,138.7,GAS,NJ,39773.7
15,3159,Cromby,2.244055172413792,5.031413612565445,11.290769741830651,420.2,COAL,PA,40193.899999999994
16,5083,Cumberland Energy Center,2.33,4.974048442906574,11.589532871972319,231.2,GAS,NJ,40425.09999999999
17,50279,PEI Power Corporation,2.0,5.81270182992465,11.6254036598493,92.9,BIOMASS,PA,40517.99999999999
18,2411,Sewaren Generating Station,2.33,5.11912176891934,11.927553721582061,1284.4,GAS,NJ,41802.399999999994
19,2403,Hudson Generating Station,2.244055172413792,5.367599219258296,12.045188791420811,1229.6,COAL,NJ,43031.99999999999
20,2917,Hamilton Municipal Power Plant,2.33,5.278783490224475,12.299565532223028,138.1,GAS,OH,43170.09999999999
21,3775,Clinch River,2.33,5.389473684210526,12.557473684210526,712.5,GAS,VA,43882.59999999999
22,1556,Perryman,2.33,5.804913824715805,13.525449211587826,545.4,GAS,MD,44427.99999999999
23,7153,Hay Road,2.33,5.870913663034367,13.679228834870075,1193,GAS,DE,45620.99999999999
24,55193,Ontelaunee Energy Center,2.33,5.934065934065934,13.826373626373627,728,GAS,PA,46348.99999999999
25,594,Indian River,2.244055172413792,6.331302076856113,14.207791173683143,804.1,COAL,DE,47153.09999999999
26,55392,Zion Energy Center,2.33,6.184012066365008,14.408748114630468,994.5,GAS,IL,48147.59999999999
27,10870,Hazleton Generation,2.33,6.209912536443149,14.469096209912538,171.5,GAS,PA,48319.09999999999
28,57349,Garrison Energy Center,2.33,6.293628808864266,14.66415512465374,361,GAS,DE,48680.09999999999
29,10308,North Jersey Energy Associates,2.33,6.508600650860065,15.16503951650395,430.2,GAS,NJ,49110.29999999999
30,55350,Dresden Energy Facility,2.33,6.6342326404245915,15.457762052189299,678.3,GAS,OH,49788.59999999999
31,3096,Brunot Island Power Station,2.33,6.690682036503363,15.589289145052836,416.4,GAS,PA,50204.99999999999
32,55938,Ocean Peaking Power,2.33,6.819843342036553,15.89023498694517,574.5,GAS,NJ,50779.49999999999
33,58079,Newark Energy Center,2.33,6.887074829931973,16.046884353741497,735,GAS,NJ,51514.49999999999
34,55188,Cordova Energy Company,2.33,7.042539267015706,16.409116492146595,611.2,GAS,IL,52125.69999999999
35,57839,Woodbridge Energy Center,2.33,7.061635220125786,16.45361006289308,795,GAS,NJ,52920.69999999999
36,55939,Warren County Power Station,2.33,7.124032060861296,16.59899470180682,1472.2,GAS,VA,54392.89999999999
37,2840,Conesville,2.244055172413792,7.4222917049843655,16.656032091734147,2174.8,COAL,OH,56567.69999999999
38,56963,West Deptford Energy Station,2.33,7.156109196925523,16.673734428836468,754.6,GAS,NJ,57322.29999999999
39,2406,Linden Generating Station,2.33,7.2125583368689,16.805260924904537,2121.3,GAS,NJ,59443.59999999999
40,58426,Panda Patriot Generation Plant,2.33,7.227586206896552,16.840275862068967,870,GAS,PA,60313.59999999999
41,58420,Panda Liberty Power Project,2.33,7.227586206896552,16.840275862068967,870,GAS,PA,61183.59999999999
42,55298,"Fairless Energy, LLC",2.33,7.263079222720478,16.922974588938715,1338,GAS,PA,62521.59999999999
43,55502,Lawrenceburg Energy Facility,2.33,7.305194805194805,17.021103896103895,1232,GAS,IN,63753.59999999999
44,55231,Liberty Electric Power Plant,2.33,7.312703583061889,17.038599348534202,614,GAS,PA,64367.59999999999
45,55397,"Dynegy Washington II, LLC",2.33,7.343684431389006,17.110784725136384,714.9,GAS,OH,65082.49999999999
46,55667,"Lower Mount Bethel Energy, LLC",2.33,7.366482504604051,17.16390423572744,651.6,GAS,PA,65734.09999999999
47,3176,Hunlock Creek Energy Center,2.33,7.402330363262508,17.247429746401643,145.9,GAS,PA,65879.99999999999
48,58260,Brunswick County Power Station,2.33,7.437848118462165,17.330186116016847,1472.2,GAS,VA,67352.19999999998
49,50966,Bellemeade Power Station,2.33,7.533333333333333,17.552666666666667,330,GAS,VA,67682.19999999998
50,54,Smith Generating Facility,2.33,7.566430203198268,17.629782373451967,1663.4,GAS,KY,69345.59999999998
51,55710,"Allegheny Energy Units 3, 4 & 5",2.33,7.580935251798561,17.663579136690647,556,GAS,PA,69901.59999999998
52,3130,Seward,2.244055172413792,7.918326693227091,17.769161972798454,803.2,COAL,PA,70704.79999999997
53,55337,Helix Ironwood LLC,2.33,7.716049382716049,17.978395061728396,777.6,GAS,PA,71482.39999999998
54,2398,Bergen,2.33,7.7215724954206,17.99126391433,1419.4,GAS,NJ,72901.79999999997
55,54832,Brandywine Power Facility,2.33,7.7908587257617725,18.15270083102493,288.8,GAS,MD,73190.59999999998
56,599,McKee Run,2.33,7.804232804232805,18.183862433862437,151.2,GAS,DE,73341.79999999997
57,55503,Waterford Plant,2.33,7.819010416666666,18.218294270833333,921.6,GAS,OH,74263.39999999998
58,55701,Fremont Energy Center,2.33,7.870182555780933,18.337525354969575,739.5,GAS,OH,75002.89999999998
59,55131,Kendall Energy Facility,2.33,7.961783439490445,18.550955414012737,1256,GAS,IL,76258.89999999998
60,55239,"Red Oak Power, LLC",2.33,7.964925100474972,18.558275484106687,821.1,GAS,NJ,77079.99999999999
61,3149,"Montour, LLC",2.244055172413792,8.319531294011606,18.66948723238515,1775.1,COAL,PA,78855.09999999999
62,55183,Nelson Energy Center,2.33,8.019123505976095,18.684557768924304,627.5,GAS,IL,79482.59999999999
63,1573,Morgantown,2.244055172413792,8.352713178294573,18.743949211440782,1548,COAL,MD,81030.59999999999
64,55439,Tenaska Virginia Generating Station,2.33,8.085826022619173,18.839974632702674,946.1,GAS,VA,81976.7
65,2832,Miami Fort Power Station,2.244055172413792,8.472991689750693,19.013860827204116,1444,COAL,OH,83420.7
66,55801,"Marcus Hook Energy, LP",2.33,8.188015787585217,19.078076785073556,836.1,GAS,PA,84256.8
67,55976,Hunterstown Combined Cycle,2.33,8.201559020044543,19.109632516703787,898,GAS,PA,85154.8
