State,Facility Name,Facility ID (ORISPL),County,FIPS Code,Source Category,Max Hourly HI Rate (MMBtu/hr),SO2 (tons),NOx (tons),CO2 (tons),Gross Load (MW-h),Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Balancing Authority Code,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Heat rate (MMBtu/MWh),SO2 emissions rate (tons/MWh),NOx emissions rate (tons/MWh),CO2 emissions rate (tons/MWh),Average NOx emissions rate by fuel,Average SO2 emissions rate by fuel,Average CO2 emissions rate by fuel
VA,Doswell Limited Partnership,52019,Hanover County,85.0,Electric Utility,2141.9,1.13,44.989,146330.93267826,229139.17,VA,Doswell Limited Partnership,52019,PJM,NG,GAS,0.39271,1313,1.6313023610053314,4.931500799274082e-06,0.00019633919421109885,0.6386116030631515,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
NJ,Burlington Generating Station,2399,Burlington County,5.0,Electric Utility,1852.0,0.191,28.459,33990.634376250004,65206.75000000001,NJ,Burlington Generating Station,2399,PJM,NG,GAS,0.00915,819,2.2612942612942613,2.9291446054281188e-06,0.00043644254620878967,0.521274781771059,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
KY,Big Sandy,1353,Lawrence County,127.0,Electric Utility,2512.0,137.689,438.526,287793.615811395,545367.13,KY,Big Sandy,1353,PJM,NG,GAS,0.05518,1096.8,2.290299051787017,0.0002524702946435367,0.0008040931986495043,0.5277062000626899,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
PA,Portland,3113,Northampton County,95.0,Electric Utility,1950.0,0.359,4.797,2571.31246341,3008.55,PA,Portland,3113,PJM,NG,GAS,0.00029,621,3.140096618357488,0.0001193265858968606,0.001594455800967243,0.8546683496734306,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
PA,York Energy Center,55524,York County,133.0,Electric Utility,4950.0,6.533,40.933,674841.2338927201,1033386.34,PA,York Energy Center,55524,PJM,NG,GAS,0.11292,1569.4,3.1540716197272842,6.321933769707078e-06,3.961054875178629e-05,0.6530386630548263,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
OH,Bay Shore,2878,Lucas County,95.0,Electric Utility,2175.0,2100.34,363.845,1227240.82417299,0.0,OH,Bay Shore,2878,PJM,PC,OIL,0.16524,665.3,3.269201863820833,0.0016910602527948927,0.0009789884897527107,0.8388580111601802,0.0009789884897527107,0.0016910602527948927,0.8388580111601802
NJ,Kearny Generating Station,2404,Hudson County,17.0,Electric Utility,4792.0,1.7530000000000001,88.43499999999997,301518.57280503,569243.8999999999,NJ,Kearny Generating Station,2404,PJM,NG,GAS,0.04464,1425.9,3.3606844799775577,3.0795235574768572e-06,0.00015535520011720808,0.5296825715743815,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
NJ,B L England,2378,Cape May County,9.0,Electric Utility,3370.0,122.594,202.10999999999999,94448.996219895,99344.78,NJ,B L England,2378,PJM,BIT,COAL,0.01275,804.6,4.188416604523987,0.0012340255824211397,0.002034429992194859,0.9507192649668659,0.000883522736838472,0.001832558334326451,0.9446109432776311
MD,Riverside,1559,Baltimore County,5.0,Electric Utility,1080.0,0.0,0.0,0.0,0.0,MD,Riverside,1559,PJM,NG,GAS,0.00064,257.2,4.199066874027994,5.7030135170145924e-05,0.00032709974455185075,0.5550879978926091,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
NJ,Howard M Down,2434,Cumberland County,11.0,Electric Utility,610.0,0.42200000000000004,8.853,75891.64526107501,147672.09,NJ,Howard M Down,2434,PJM,NG,GAS,0.11715,138.7,4.397981254506129,2.857682856658967e-06,5.995039414692377e-05,0.5139200322896156,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
NJ,Cumberland Energy Center,5083,Cumberland County,11.0,Electric Utility,1150.0,0.19399999999999998,3.2310000000000003,34993.092852135,78095.33,NJ,Cumberland Energy Center,5083,PJM,NG,GAS,0.05726,231.2,4.974048442906574,2.4841434180507333e-06,4.1372512287226396e-05,0.448081759205512,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
PA,Cromby,3159,Chester County,29.0,Electric Utility,2114.2,,,,,PA,Cromby,3159,PJM,BIT,COAL,,420.2,5.031413612565445,0.001832558334326451,0.000883522736838472,0.9446109432776311,0.000883522736838472,0.001832558334326451,0.9446109432776311
NJ,Sewaren Generating Station,2411,Middlesex County,23.0,Electric Utility,6575.0,0.323,223.608,57447.723271545,88483.54999999999,NJ,Sewaren Generating Station,2411,PJM,NG,GAS,0.00633,1284.4,5.11912176891934,3.6503960340650894e-06,0.0025271137968582865,0.6492474959644478,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
OH,Hamilton Municipal Power Plant,2917,Butler County,17.0,Electric Utility,729.0,0.0,0.0,0.0,0.0,OH,Hamilton Municipal Power Plant,2917,PJM,NG,GAS,0,138.1,5.278783490224475,5.7030135170145924e-05,0.00032709974455185075,0.5550879978926091,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
NJ,Hudson Generating Station,2403,Hudson County,17.0,Electric Utility,6600.0,18.459,175.268,217569.73402935002,360962.56,NJ,Hudson Generating Station,2403,PJM,BIT,COAL,0.02672,1229.6,5.367599219258296,5.113826763639974e-05,0.00048555728328167884,0.6027487560741758,0.000883522736838472,0.001832558334326451,0.9446109432776311
VA,Clinch River,3775,Russell County,167.0,Electric Utility,3840.0,90.423,213.337,189150.36767805,320711.24,VA,Clinch River,3775,PJM,NG,GAS,0.04759,712.5,5.389473684210526,0.0002819452165131475,0.0006651996356597916,0.5897840302636416,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
MD,Perryman,1556,Harford County,25.0,Electric Utility,3166.0,3.1310000000000002,103.398,331456.91429818503,562782.36,MD,Perryman,1556,PJM,NG,GAS,0.1157,545.4,5.804913824715805,5.563429528956807e-06,0.00018372644089271028,0.5889610937666651,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
PA,PEI Power Corporation,50279,Lackawanna County,69.0,Electric Utility,540.0,0.016,2.064,2912.618140035,5644.01,PA,PEI Power Corporation,50279,PJM,LFG,BIOMASS,0.22165,92.9,5.81270182992465,2.8348638645218557e-06,0.0003656974385233194,0.516054744771005,0.0003656974385233194,2.8348638645218557e-06,0.516054744771005
DE,Hay Road,7153,New Castle County,3.0,Electric Utility,7004.0,6.248,279.774,1119633.476030835,1738414.22,DE,Hay Road,7153,PJM,NG,GAS,0.36895,1193,5.870913663034367,3.5940801266570406e-06,0.0001609363273616112,0.6440544854901353,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
PA,Ontelaunee Energy Center,55193,Berks County,11.0,Electric Utility,4320.0,8.757,101.77000000000001,1573694.32208049,4419619.49,PA,Ontelaunee Energy Center,55193,PJM,NG,GAS,0.65485,728,5.934065934065934,1.9813922940230312e-06,2.3026869220363587e-05,0.356070092830659,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
IL,Zion Energy Center,55392,Lake County,97.0,Electric Utility,6150.0,1.4689999999999999,76.83099999999999,261214.47695415004,440223.98,IL,Zion Energy Center,55392,PJM,NG,GAS,0.04999,994.5,6.184012066365008,3.3369377106626495e-06,0.00017452706688081824,0.5933672149212545,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
PA,Hazleton Generation,10870,Luzerne County,79.0,Cogeneration,1065.0,0.041,0.651,513.09113541,603.4599999999999,PA,Hazleton Generation,10870,PJM,NG,GAS,0.00084,171.5,6.209912536443149,6.794153713584994e-05,0.001078779040864349,0.8502487909886323,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
