,Facility Name,Fuel,Fuel Cost ($/MMBtu),Gas price,Gas_Hubs,Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),ORIS,Plant nameplate capacity (MW),State,Unit Group,VOM ($/MWh),Running Capacity (MW)
0,,WIND,,,,,0.0,,2287.8,,,,2287.8
1,,SOLAR,,,,,0.0,,0.0,,,,2287.8
2,,HYDRO,,,,,0.0,,572.8,,,,2860.6000000000004
3,,NUCLEAR,,,,,0.0,,35433.4,,,,38294.0
4,,STORAGE,,,,,0.0,,0.0,,,,38294.0
5,,OTHER RENEWABLES,,,,,0.0,,645.1,,,,38939.1
6,York Energy Center,GAS,1.4,1.4,Dominion South Point,3.1540716197272842,7.415700267618198,55524,1569.4,PA,Combined cycle,3.0,40508.5
7,Big Sandy,GAS,2.3599,2.3599,Lebanon,2.290299051787017,8.404876732312182,1353,1096.8,KY,Coal boiler,3.0,41605.3
8,Doswell Limited Partnership,GAS,2.0578,2.0578,Transco Zone 6 Non NY,1.6313023610053314,10.356893998476771,52019,1313,VA,Combustion turbine,7.0,42918.3
9,Ontelaunee Energy Center,GAS,1.4,1.4,Dominion South Point,5.934065934065934,11.307692307692308,55193,728,PA,Combined cycle,3.0,43646.3
10,Portland,GAS,1.4,1.4,Dominion South Point,3.140096618357488,11.396135265700483,3113,621,PA,Combustion turbine,7.0,44267.3
11,Riverside,GAS,2.0578,2.0578,Transco Zone 6 Non NY,4.199066874027994,11.640839813374805,1559,257.2,MD,Coal boiler,3.0,44524.5
12,Burlington Generating Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,2.2612942612942613,11.653291330891332,2399,819,NJ,Combustion turbine,7.0,45343.5
13,Brunot Island Power Station,GAS,1.4,1.4,Dominion South Point,6.690682036503363,12.366954851104706,3096,416.4,PA,Combined cycle,3.0,45759.9
14,Panda Patriot Generation Plant,GAS,1.4,1.4,Dominion South Point,7.227586206896552,13.118620689655172,58426,870,PA,Combined cycle,3.0,46629.9
15,Panda Liberty Power Project,GAS,1.4,1.4,Dominion South Point,7.227586206896552,13.118620689655172,58420,870,PA,Combined cycle,3.0,47499.9
16,"Fairless Energy, LLC",GAS,1.4,1.4,Dominion South Point,7.263079222720478,13.168310911808668,55298,1338,PA,Combined cycle,3.0,48837.9
17,Liberty Electric Power Plant,GAS,1.4,1.4,Dominion South Point,7.312703583061889,13.237785016286644,55231,614,PA,Combined cycle,3.0,49451.9
18,"Lower Mount Bethel Energy, LLC",GAS,1.4,1.4,Dominion South Point,7.366482504604051,13.31307550644567,55667,651.6,PA,Combined cycle,3.0,50103.5
19,Hunlock Creek Energy Center,GAS,1.4,1.4,Dominion South Point,7.402330363262508,13.36326250856751,3176,145.9,PA,Combined cycle,3.0,50249.4
20,Sewaren Generating Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,5.11912176891934,13.534128776082216,2411,1284.4,NJ,Coal boiler,3.0,51533.8
21,"Allegheny Energy Units 3, 4 & 5",GAS,1.4,1.4,Dominion South Point,7.580935251798561,13.613309352517984,55710,556,PA,Combined cycle,3.0,52089.8
22,Helix Ironwood LLC,GAS,1.4,1.4,Dominion South Point,7.716049382716049,13.802469135802468,55337,777.6,PA,Combined cycle,3.0,52867.4
23,Kearny Generating Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,3.3606844799775577,13.915616522897817,2404,1425.9,NJ,Combustion turbine,7.0,54293.3
24,Clinch River,GAS,2.0578,2.0578,Transco Zone 6 Non NY,5.389473684210526,14.09045894736842,3775,712.5,VA,Coal boiler,3.0,55005.8
25,"Marcus Hook Energy, LP",GAS,1.4,1.4,Dominion South Point,8.188015787585217,14.463222102619303,55801,836.1,PA,Combined cycle,3.0,55841.9
26,Hunterstown Combined Cycle,GAS,1.4,1.4,Dominion South Point,8.201559020044543,14.48218262806236,55976,898,PA,Combined cycle,3.0,56739.9
27,"Dynegy Fayette II, LLC",GAS,1.4,1.4,Dominion South Point,8.383791336748951,14.73730787144853,55516,644.1,PA,Combined cycle,3.0,57384.0
28,B L England,COAL,2.3274043715847013,2.0578,Transco Zone 6 Non NY,4.188416604523987,14.748139115387078,2378,804.6,NJ,Coal boiler,5.0,58188.6
29,Bethlehem Power Plant,GAS,1.4,1.4,Dominion South Point,8.794449262792714,15.3122289679098,55690,1153,PA,Combined cycle,3.0,59341.6
30,Hamilton Municipal Power Plant,GAS,2.3599,2.3599,Lebanon,5.278783490224475,15.457401158580739,2917,138.1,OH,Coal boiler,3.0,59479.7
31,Hazleton Generation,GAS,1.4,1.4,Dominion South Point,6.209912536443149,15.693877551020407,10870,171.5,PA,Combustion turbine,7.0,59651.2
32,New Castle,GAS,1.4,1.4,Dominion South Point,9.229500471253536,15.92130065975495,3138,424.4,PA,Coal boiler,3.0,60075.6
33,Howard M Down,GAS,2.0578,2.0578,Transco Zone 6 Non NY,4.397981254506129,16.05016582552271,2434,138.7,NJ,Combustion turbine,7.0,60214.299999999996
34,North Jersey Energy Associates,GAS,2.0578,2.0578,Transco Zone 6 Non NY,6.508600650860065,16.39339841933984,10308,430.2,NJ,Combined cycle,3.0,60644.49999999999
35,Grays Ferry Cogen Partnership,GAS,1.4,1.4,Dominion South Point,9.766355140186915,16.67289719626168,54785,192.6,PA,Combined cycle,3.0,60837.09999999999
36,Cromby,COAL,2.3274043715847013,1.4,Dominion South Point,5.031413612565445,16.71013403713559,3159,420.2,PA,,5.0,61257.29999999999
37,Newark Energy Center,GAS,2.0578,2.0578,Transco Zone 6 Non NY,6.887074829931973,17.172222585034014,58079,735,NJ,Combined cycle,3.0,61992.29999999999
38,Cumberland Energy Center,GAS,2.0578,2.0578,Transco Zone 6 Non NY,4.974048442906574,17.23559688581315,5083,231.2,NJ,Combustion turbine,7.0,62223.499999999985
39,Hudson Generating Station,COAL,2.3274043715847013,2.0578,Transco Zone 6 Non NY,5.367599219258296,17.492573887816388,2403,1229.6,NJ,Coal boiler,5.0,63453.099999999984
40,Woodbridge Energy Center,GAS,2.0578,2.0578,Transco Zone 6 Non NY,7.061635220125786,17.531432955974843,57839,795,NJ,Combined cycle,3.0,64248.099999999984
41,Warren County Power Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,7.124032060861296,17.659833174840372,55939,1472.2,VA,Combined cycle,3.0,65720.29999999999
42,West Deptford Energy Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,7.156109196925523,17.72584150543334,56963,754.6,NJ,Combined cycle,3.0,66474.9
43,Shawville,GAS,1.4,1.4,Dominion South Point,10.55379746835443,17.7753164556962,3131,632,PA,Coal boiler,3.0,67106.9
44,Linden Generating Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,7.2125583368689,17.84200254560882,2406,2121.3,NJ,Combined cycle,3.0,69228.2
45,Brunswick County Power Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,7.437848118462165,18.305603858171445,58260,1472.2,VA,Combined cycle,3.0,70700.4
46,Bellemeade Power Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,7.533333333333333,18.502093333333335,50966,330,VA,Combined cycle,3.0,71030.4
47,PEI Power Corporation,,2.0,1.4,Dominion South Point,5.81270182992465,18.625403659849297,50279,92.9,PA,Combustion turbine,7.0,71123.29999999999
48,Dresden Energy Facility,GAS,2.3599,2.3599,Lebanon,6.6342326404245915,18.656125608137994,55350,678.3,OH,Combined cycle,3.0,71801.59999999999
49,Bergen,GAS,2.0578,2.0578,Transco Zone 6 Non NY,7.7215724954206,18.88945188107651,2398,1419.4,NJ,Combined cycle,3.0,73220.99999999999
50,Perryman,GAS,2.0578,2.0578,Transco Zone 6 Non NY,5.804913824715805,18.94535166850018,1556,545.4,MD,Combustion turbine,7.0,73766.39999999998
51,Brandywine Power Facility,GAS,2.0578,2.0578,Transco Zone 6 Non NY,7.7908587257617725,19.032029085872573,54832,288.8,MD,Combined cycle,3.0,74055.19999999998
52,Handsome Lake Energy,GAS,1.4,1.4,Dominion South Point,8.828522920203735,19.359932088285227,55233,294.5,PA,Combustion turbine,7.0,74349.69999999998
53,"Red Oak Power, LLC",GAS,2.0578,2.0578,Transco Zone 6 Non NY,7.964925100474972,19.3902228717574,55239,821.1,NJ,Combined cycle,3.0,75170.79999999999
54,Tenaska Virginia Generating Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,8.085826022619173,19.639012789345735,55439,946.1,VA,Combined cycle,3.0,76116.9
55,Indian River,COAL,2.3274043715847013,2.9644,Transco Zone 6 NY,6.331302076856113,19.735500131498213,594,804.1,DE,Coal boiler,5.0,76921.0
56,Possum Point Power Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,8.214611652817139,19.90402785916711,3804,2081.9,VA,Combined cycle,3.0,79002.9
57,Cordova Energy Company,GAS,2.4471,2.4471,Chicago City Gate,7.042539267015706,20.233797840314132,55188,611.2,IL,Combined cycle,3.0,79614.09999999999
58,Lawrenceburg Energy Facility,GAS,2.3599,2.3599,Lebanon,7.305194805194805,20.23952922077922,55502,1232,IN,Combined cycle,3.0,80846.09999999999
59,Bear Garden Generating Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,8.389982110912344,20.26490518783542,56807,559,VA,Combined cycle,3.0,81405.09999999999
60,"Dynegy Washington II, LLC",GAS,2.3599,2.3599,Lebanon,7.343684431389006,20.330360889634917,55397,714.9,OH,Combined cycle,3.0,82119.99999999999
61,Hay Road,GAS,2.9644,2.9644,Transco Zone 6 NY,5.870913663034367,20.403736462699076,7153,1193,DE,Combined cycle,3.0,83312.99999999999
62,"Camden Plant Holding, LLC",GAS,2.0578,2.0578,Transco Zone 6 Non NY,8.719745222929935,20.94349171974522,10751,157,NJ,Combined cycle,3.0,83469.99999999999
63,Ocean Peaking Power,GAS,2.0578,2.0578,Transco Zone 6 Non NY,6.819843342036553,21.03387362924282,55938,574.5,NJ,Combustion turbine,7.0,84044.49999999999
64,Waterford Plant,GAS,2.3599,2.3599,Lebanon,7.819010416666666,21.452082682291667,55503,921.6,OH,Combined cycle,3.0,84966.09999999999
65,Fremont Energy Center,GAS,2.3599,2.3599,Lebanon,7.870182555780933,21.572843813387426,55701,739.5,OH,Combined cycle,3.0,85705.59999999999
