,Hour,Month,Day,Year,System load (MW),ORIS ID,Fuel,Marginal Cost ($/MWh),CO2 emissions rate (tons/MWh),NOx emisisons rate (tons/MWh),SO2 emissions rate (tons/MWh)
0,1,1,1,2016,76169.255,55710,GAS,17.28453237,0.525060376,3.95E-05,2.92E-06
0,2,1,1,2016,74087.963,2840,COAL,17.27467416,0.949858551,0.00119646,0.001002696
0,3,1,1,2016,72329.2,54,GAS,17.25146086,0.657801191,0.000208753,4.38E-06
0,4,1,1,2016,71574.892,50966,GAS,17.176,0.476268528,0.000115966,2.96E-06
0,5,1,1,2016,71830.003,50966,GAS,17.176,0.476268528,0.000115966,2.96E-06
0,6,1,1,2016,73351.677,2840,COAL,17.27467416,0.949858551,0.00119646,0.001002696
0,7,1,1,2016,75415.295,55710,GAS,17.28453237,0.525060376,3.95E-05,2.92E-06
0,8,1,1,2016,77176.364,55337,GAS,17.59259259,0.587779538,7.38E-05,3.27E-06
0,9,1,1,2016,78499.044,2398,GAS,17.60518529,0.645195161,9.51E-05,3.59E-06
0,10,1,1,2016,80815.425,55701,GAS,17.94401623,0.361672168,3.61E-05,2.01E-06
0,11,1,1,2016,82968.757,55239,GAS,18.16002923,0.583279204,5.48E-05,3.25E-06
0,12,1,1,2016,84081.248,55183,GAS,18.28360159,0.581067331,0.000108528,3.23E-06
0,13,1,1,2016,84390.643,3130,COAL,18.42914816,0.944610943,0.000883523,0.001832558
0,14,1,1,2016,83903.716,55183,GAS,18.28360159,0.581067331,0.000108528,3.23E-06
0,15,1,1,2016,83386.541,55183,GAS,18.28360159,0.581067331,0.000108528,3.23E-06
0,16,1,1,2016,83633.512,55183,GAS,18.28360159,0.581067331,0.000108528,3.23E-06
0,17,1,1,2016,85944.545,55439,GAS,18.43568333,0.388676331,2.40E-05,2.17E-06
0,18,1,1,2016,92189.638,55640,GAS,19.12593388,0.535570908,9.92E-05,2.91E-06
0,19,1,1,2016,93675.944,1573,COAL,19.44014117,0.840652771,0.000172946,0.000540155
0,20,1,1,2016,93073.716,3149,COAL,19.3629135,0.824066704,0.00168584,0.001597458
0,21,1,1,2016,92108.382,56807,GAS,19.12915921,0.372384685,2.62E-05,2.07E-06
0,22,1,1,2016,90294.556,58235,GAS,18.73972603,0.504932765,5.62E-05,2.81E-06
0,23,1,1,2016,87091.956,55976,GAS,18.69955457,0.574773683,2.34E-05,3.20E-06
0,24,1,1,2016,83555.312,6019,COAL,22.03981412,0.80560037,0.000922144,0.001684957
0,1,1,2,2016,80061.183,54832,GAS,17.76315789,0.415839897,9.79E-05,2.37E-06
0,2,1,2,2016,77936.356,55337,GAS,17.59259259,0.587779538,7.38E-05,3.27E-06
0,3,1,2,2016,76856.867,55710,GAS,17.28453237,0.525060376,3.95E-05,2.92E-06
0,4,1,2,2016,76795.828,55337,GAS,17.59259259,0.587779538,7.38E-05,3.27E-06
0,5,1,2,2016,77539.129,2398,GAS,17.60518529,0.645195161,9.51E-05,3.59E-06
0,6,1,2,2016,79631.496,55701,GAS,17.94401623,0.361672168,3.61E-05,2.01E-06
0,7,1,2,2016,82883.797,3130,COAL,18.42914816,0.944610943,0.000883523,0.001832558
0,8,1,2,2016,86073.985,3804,GAS,18.72931457,0.396051484,8.13E-05,8.62E-05
0,9,1,2,2016,87821.742,58235,GAS,18.73972603,0.504932765,5.62E-05,2.81E-06
0,10,1,2,2016,87964.832,58235,GAS,18.73972603,0.504932765,5.62E-05,2.81E-06
0,11,1,2,2016,87503.347,58235,GAS,18.73972603,0.504932765,5.62E-05,2.81E-06
0,12,1,2,2016,86224.071,3804,GAS,18.72931457,0.396051484,8.13E-05,8.62E-05
