Hour,Day,Month,Year,System load (MW),ORIS ID,Fuel,Marginal Cost ($/MWh),CO2 emissions rate (tons/MWh),NOx emisisons rate (tons/MWh),SO2 emissions rate (tons/MWh)
1,1,1,2016,76169.255,55439,GAS,19.639012789345735,0.38867633126393947,2.39725334977489e-05,2.1658310407547597e-06
2,1,1,2016,74087.963,54832,GAS,19.032029085872573,0.4158398966622033,9.794321343405521e-05,2.374345962170812e-06
3,1,1,2016,72329.2,2398,GAS,18.88945188107651,0.6451951614746082,9.51329287277088e-05,3.5922334047529087e-06
4,1,1,2016,71574.892,55350,GAS,18.656125608137994,0.3456697014943994,3.623127633950063e-05,1.923412843655486e-06
5,1,1,2016,71830.003,55350,GAS,18.656125608137994,0.3456697014943994,3.623127633950063e-05,1.923412843655486e-06
6,1,1,2016,73351.677,2398,GAS,18.88945188107651,0.6451951614746082,9.51329287277088e-05,3.5922334047529087e-06
7,1,1,2016,75415.295,55239,GAS,19.3902228717574,0.5832792041690795,5.482159603354528e-05,3.245803801560447e-06
8,1,1,2016,77176.364,594,COAL,19.735500131498213,0.852826788599051,0.0003648275171798328,0.0008237371398023901
9,1,1,2016,78499.044,3804,GAS,19.90402785916711,0.39605148402282947,8.134661411060147e-05,8.616448742303567e-05
10,1,1,2016,80815.425,55502,GAS,20.23952922077922,0.38139483030939986,4.5238884949821006e-05,2.122428126254969e-06
11,1,1,2016,82968.757,7153,GAS,20.403736462699076,0.6440544854901353,0.0001609363273616112,3.5940801266570406e-06
12,1,1,2016,84081.248,7153,GAS,20.403736462699076,0.6440544854901353,0.0001609363273616112,3.5940801266570406e-06
13,1,1,2016,84390.643,55938,GAS,21.03387362924282,0.5464044725639596,0.00016379436725115804,3.040865472953045e-06
14,1,1,2016,83903.716,7153,GAS,20.403736462699076,0.6440544854901353,0.0001609363273616112,3.5940801266570406e-06
15,1,1,2016,83386.541,7153,GAS,20.403736462699076,0.6440544854901353,0.0001609363273616112,3.5940801266570406e-06
16,1,1,2016,83633.512,7153,GAS,20.403736462699076,0.6440544854901353,0.0001609363273616112,3.5940801266570406e-06
17,1,1,2016,85944.545,55503,GAS,21.452082682291667,0.3688218722521622,2.858895393556902e-05,2.0522860517213207e-06
18,1,1,2016,92189.638,55131,GAS,22.483280254777068,0.39903532926587654,3.741945555118339e-05,2.2205505242668184e-06
19,1,1,2016,93675.944,55347,GAS,22.67674418604651,0.5493006151423199,0.00015352444280185534,3.0604426755411425e-06
20,1,1,2016,93073.716,55183,GAS,22.623597131474103,0.5810673314615505,0.0001085278469002118,3.2327798154500527e-06
21,1,1,2016,92108.382,55131,GAS,22.483280254777068,0.39903532926587654,3.741945555118339e-05,2.2205505242668184e-06
22,1,1,2016,90294.556,2840,COAL,22.274674161357478,0.9498585507993426,0.0011964601995765765,0.0010026955717612614
23,1,1,2016,87091.956,57349,GAS,21.65683324099723,0.37073424807391037,2.5158824459555218e-05,2.086146311321242e-06
24,1,1,2016,83555.312,8102,COAL,26.36915275325769,0.8743871015972867,0.00048622354127319986,0.0013287935788085493
1,2,1,2016,80061.183,55188,GAS,20.233797840314132,0.41644891172742043,4.341326423318254e-05,2.3060652053688584e-06
2,2,1,2016,77936.356,3804,GAS,19.90402785916711,0.39605148402282947,8.134661411060147e-05,8.616448742303567e-05
3,2,1,2016,76856.867,594,COAL,19.735500131498213,0.852826788599051,0.0003648275171798328,0.0008237371398023901
4,2,1,2016,76795.828,594,COAL,19.735500131498213,0.852826788599051,0.0003648275171798328,0.0008237371398023901
5,2,1,2016,77539.129,3804,GAS,19.90402785916711,0.39605148402282947,8.134661411060147e-05,8.616448742303567e-05
6,2,1,2016,79631.496,55502,GAS,20.23952922077922,0.38139483030939986,4.5238884949821006e-05,2.122428126254969e-06
7,2,1,2016,82883.797,55938,GAS,21.03387362924282,0.5464044725639596,0.00016379436725115804,3.040865472953045e-06
8,2,1,2016,86073.985,2393,GAS,21.85188486842105,0.6955926151731548,0.00022707787711679245,4.658007735729076e-06
9,2,1,2016,87821.742,2840,COAL,22.274674161357478,0.9498585507993426,0.0011964601995765765,0.0010026955717612614
10,2,1,2016,87964.832,2840,COAL,22.274674161357478,0.9498585507993426,0.0011964601995765765,0.0010026955717612614
11,2,1,2016,87503.347,2840,COAL,22.274674161357478,0.9498585507993426,0.0011964601995765765,0.0010026955717612614
12,2,1,2016,86224.071,2393,GAS,21.85188486842105,0.6955926151731548,0.00022707787711679245,4.658007735729076e-06
13,2,1,2016,84508.675,55503,GAS,21.452082682291667,0.3688218722521622,2.858895393556902e-05,2.0522860517213207e-06
14,2,1,2016,82679.212,7153,GAS,20.403736462699076,0.6440544854901353,0.0001609363273616112,3.5940801266570406e-06
15,2,1,2016,81274.337,56807,GAS,20.26490518783542,0.3723846846340778,2.6171567783401845e-05,2.07217501703363e-06
16,2,1,2016,81062.756,56807,GAS,20.26490518783542,0.3723846846340778,2.6171567783401845e-05,2.07217501703363e-06
17,2,1,2016,83522.351,7153,GAS,20.403736462699076,0.6440544854901353,0.0001609363273616112,3.5940801266570406e-06
18,2,1,2016,90629.873,2840,COAL,22.274674161357478,0.9498585507993426,0.0011964601995765765,0.0010026955717612614
19,2,1,2016,93919.841,55347,GAS,22.67674418604651,0.5493006151423199,0.00015352444280185534,3.0604426755411425e-06
20,2,1,2016,93875.47,55183,GAS,22.623597131474103,0.5810673314615505,0.0001085278469002118,3.2327798154500527e-06
21,2,1,2016,93227.636,55131,GAS,22.483280254777068,0.39903532926587654,3.741945555118339e-05,2.2205505242668184e-06
22,2,1,2016,91742.395,55131,GAS,22.483280254777068,0.39903532926587654,3.741945555118339e-05,2.2205505242668184e-06
23,2,1,2016,88873.557,55392,GAS,22.13289592760181,0.5933672149212545,0.00017452706688081824,3.3369377106626495e-06
24,2,1,2016,85102.79,6264,COAL,26.41212021857925,0.8761628999668939,0.00046295415794401763,0.0006171167491034634
1,3,1,2016,81829.181,55502,GAS,20.23952922077922,0.38139483030939986,4.5238884949821006e-05,2.122428126254969e-06
2,3,1,2016,79569.364,3804,GAS,19.90402785916711,0.39605148402282947,8.134661411060147e-05,8.616448742303567e-05
3,3,1,2016,78497.456,3804,GAS,19.90402785916711,0.39605148402282947,8.134661411060147e-05,8.616448742303567e-05
4,3,1,2016,78087.225,3804,GAS,19.90402785916711,0.39605148402282947,8.134661411060147e-05,8.616448742303567e-05
5,3,1,2016,78570.347,3804,GAS,19.90402785916711,0.39605148402282947,8.134661411060147e-05,8.616448742303567e-05
6,3,1,2016,80061.722,55502,GAS,20.23952922077922,0.38139483030939986,4.5238884949821006e-05,2.122428126254969e-06
7,3,1,2016,82397.312,7153,GAS,20.403736462699076,0.6440544854901353,0.0001609363273616112,3.5940801266570406e-06
8,3,1,2016,84924.797,55701,GAS,21.572843813387426,0.3616721682139293,3.6085471427839804e-05,2.012548072792665e-06
9,3,1,2016,86443.223,55392,GAS,22.13289592760181,0.5933672149212545,0.00017452706688081824,3.3369377106626495e-06
10,3,1,2016,85893.659,2393,GAS,21.85188486842105,0.6955926151731548,0.00022707787711679245,4.658007735729076e-06
11,3,1,2016,84954.321,55701,GAS,21.572843813387426,0.3616721682139293,3.6085471427839804e-05,2.012548072792665e-06
12,3,1,2016,84040.737,55503,GAS,21.452082682291667,0.3688218722521622,2.858895393556902e-05,2.0522860517213207e-06
13,3,1,2016,83637.623,55503,GAS,21.452082682291667,0.3688218722521622,2.858895393556902e-05,2.0522860517213207e-06
14,3,1,2016,82961.816,55938,GAS,21.03387362924282,0.5464044725639596,0.00016379436725115804,3.040865472953045e-06
