,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Balancing Authority Code,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Date,Prices
4,DC,US GSA Heating and Transmission,57788,PJM,NG,GAS,0.25022,10.8,2016-01-05,2.33
370,DE,Brookside Newark,58110,PJM,NG,GAS,0.81507,3.1,2016-01-05,2.33
736,DE,Garrison Energy Center,57349,PJM,NG,GAS,0.49492,361,2016-01-05,2.33
1102,DE,Hay Road,7153,PJM,NG,GAS,0.36895,1193,2016-01-05,2.33
1468,DE,McKee Run,599,PJM,NG,GAS,0.02528,151.2,2016-01-05,2.33
1834,DE,NRG Energy Center Dover,10030,PJM,NG,GAS,0.22767,118,2016-01-05,2.33
2200,DE,Red Lion Energy Center,58433,PJM,NG,GAS,0.86867,27,2016-01-05,2.33
2566,DE,Warren F. Sam Beasley Pwr Station,7962,PJM,NG,GAS,0.0867,96,2016-01-05,2.33
2932,IL,1515 S Caron Road,7770,PJM,NG,GAS,0.00832,4.2,2016-01-05,2.33
3298,IL,Adkins Energy LLC,58136,PJM,NG,GAS,0.57854,5,2016-01-05,2.33
3664,IL,Argonne National Laboratory CHP,60742,PJM,NG,GAS,0.24029,6.3,2016-01-05,2.33
4030,IL,Aurora,55279,PJM,NG,GAS,0.03421,1275,2016-01-05,2.33
4396,IL,BP Naperville Cogeneration Facility,50722,PJM,NG,GAS,0.47501,8.3,2016-01-05,2.33
4762,IL,Bunge Oil,52034,PJM,NG,GAS,0.81187,3.5,2016-01-05,2.33
5128,IL,"Calumet Energy Team, LLC",55296,PJM,NG,GAS,0.00736,312.8,2016-01-05,2.33
5494,IL,Charter Dura-Bar,54540,PJM,NG,GAS,,6,2016-01-05,2.33
5860,IL,Chicago West Side Energy Center,59794,PJM,NG,GAS,0.62606,3.5,2016-01-05,2.33
6226,IL,Cordova Energy Company,55188,PJM,NG,GAS,0.00857,611.2,2016-01-05,2.33
6592,IL,Crete Energy Park,55253,PJM,NG,GAS,0.03006,356,2016-01-05,2.33
6958,IL,CSL Behring LLC,54790,PJM,NG,GAS,0.81906,4.2,2016-01-05,2.33
7324,IL,"Elgin Energy Center, LLC",55438,PJM,NG,GAS,0.04889,540,2016-01-05,2.33
7690,IL,Elwood Energy Facility,55199,PJM,NG,GAS,0.07902,1728,2016-01-05,2.33
8056,IL,Evanston Township High School,54788,PJM,NG,GAS,0,2.4,2016-01-05,2.33
8422,IL,Fox Metro Water Reclamation District,50904,PJM,NG,GAS,0.00092,2.2,2016-01-05,2.33
8788,IL,General Mills West Chicago,54924,PJM,NG,GAS,0,6.4,2016-01-05,2.33
9154,IL,Geneva Generation Facility,56462,PJM,NG,GAS,0.02334,31.5,2016-01-05,2.33
9520,IL,Hoffer Plastics,54523,PJM,NG,GAS,0.01475,7.2,2016-01-05,2.33
9886,IL,Invenergy Nelson Expansion LLC,60387,PJM,NG,GAS,,380,2016-01-05,2.33
10252,IL,ITT Cogen Facility,52021,PJM,NG,GAS,0.0004,7.4,2016-01-05,2.33
10618,IL,Joliet 29,384,PJM,NG,GAS,0.13846,1320,2016-01-05,2.33
10984,IL,Joliet 9,874,PJM,NG,GAS,0.0465,507.6,2016-01-05,2.33
11350,IL,Kendall Energy Facility,55131,PJM,NG,GAS,0.65397,1256,2016-01-05,2.33
11716,IL,Lake Forest Hospital,60797,PJM,NG,GAS,0.01199,3.2,2016-01-05,2.33
12082,IL,"Lee County Generating Station, LLC",55236,PJM,NG,GAS,0.0077,814.4,2016-01-05,2.33
12448,IL,Lincoln Generating Facility,55222,PJM,NG,GAS,0.01044,692,2016-01-05,2.33
12814,IL,Loyola University Health Plant,58181,PJM,NG,GAS,0.10891,10.6,2016-01-05,2.33
13180,IL,"LSP University Park, LLC",55640,PJM,NG,GAS,0.13339,726,2016-01-05,2.33
13546,IL,Mars Snackfood US,54855,PJM,NG,GAS,0.90124,3.5,2016-01-05,2.33
13912,IL,Mondelez Global LLC,54933,PJM,NG,GAS,0.03466,4.7,2016-01-05,2.33
14278,IL,Mooseheart Power House,50337,PJM,NG,GAS,0,1.8,2016-01-05,2.33
14644,IL,"Morris Cogeneration, LLC",55216,PJM,NG,GAS,0.30426,218.8,2016-01-05,2.33
15010,IL,MPEA Energy Center,55067,PJM,NG,GAS,0,9.3,2016-01-05,2.33
15376,IL,MTHS Co-Gen Buildings,58825,PJM,NG,GAS,0,1.2,2016-01-05,2.33
15742,IL,Museum of Science and Industry,58635,PJM,NG,GAS,0,1.7,2016-01-05,2.33
16108,IL,Nalco,50326,PJM,NG,GAS,0.34213,4.7,2016-01-05,2.33
16474,IL,Nelson Energy Center,55183,PJM,NG,GAS,0.19172,627.5,2016-01-05,2.33
16840,IL,North Chicago Energy Center,58328,PJM,NG,GAS,0.32872,12.4,2016-01-05,2.33
17206,IL,Northeastern Illinois University Cogen,58245,PJM,NG,GAS,0.00084,3.2,2016-01-05,2.33
17572,IL,Northwest Community Hospital,59847,PJM,NG,GAS,0.00324,4.4,2016-01-05,2.33
17938,IL,Panduit Tinley Park,54932,PJM,NG,GAS,0,1.4,2016-01-05,2.33
18304,IL,Presence Saint Mary of Nazareth Hospital,54886,PJM,NG,GAS,0,5,2016-01-05,2.33
18670,IL,Rockford Energy Center,55238,PJM,NG,GAS,0.05958,316,2016-01-05,2.33
19036,IL,Rockford II Energy Center,55936,PJM,NG,GAS,0.08032,168,2016-01-05,2.33
19402,IL,"Rocky Road Power, LLC",55109,PJM,NG,GAS,0.02064,415.5,2016-01-05,2.33
19768,IL,Saint Francis Hospital,50952,PJM,NG,GAS,,1.6,2016-01-05,2.33
20134,IL,South Main Street,961,PJM,NG,GAS,0.00628,27.3,2016-01-05,2.33
20500,IL,Southeast Chicago Energy Project,55281,PJM,NG,GAS,0.01115,407.2,2016-01-05,2.33
20866,IL,Thornridge High School,55005,PJM,NG,GAS,0.00011,1,2016-01-05,2.33
21232,IL,Thornwood High School,55004,PJM,NG,GAS,0.00049,1.4,2016-01-05,2.33
21598,IL,Triton East and West Cogen,58375,PJM,NG,GAS,0.00117,3.6,2016-01-05,2.33
21964,IL,University of Illinois Cogen Facility,54044,PJM,NG,GAS,0.15055,59.9,2016-01-05,2.33
22330,IL,University Park Energy,55250,PJM,NG,GAS,0.06701,353.4,2016-01-05,2.33
22696,IL,WestRock (IL),54513,PJM,NG,GAS,0.00031,2.9,2016-01-05,2.33
23062,IL,Winnetka,972,PJM,NG,GAS,0.01659,33.4,2016-01-05,2.33
23428,IL,Woodridge Greene Valley Treatment Plant,54987,PJM,NG,GAS,0.00183,1.5,2016-01-05,2.33
23794,IL,Zion Energy Center,55392,PJM,NG,GAS,0.04999,994.5,2016-01-05,2.33
24160,IN,Anderson,7336,PJM,NG,GAS,0.00835,168.7,2016-01-05,2.33
24526,IN,Bunge North America East LLC,50316,PJM,NG,GAS,0.63419,2,2016-01-05,2.33
24892,IN,Lawrenceburg Energy Facility,55502,PJM,NG,GAS,0.70522,1232,2016-01-05,2.33
25258,IN,Richmond (IN),7335,PJM,NG,GAS,0.00416,82.8,2016-01-05,2.33
25624,IN,St Joseph Energy Center,57794,PJM,NG,GAS,,1406,2016-01-05,2.33
25990,IN,University of Notre Dame,50366,PJM,NG,GAS,0.28827,28.8,2016-01-05,2.33
26356,KY,Big Sandy,1353,PJM,NG,GAS,0.05518,1096.8,2016-01-05,2.33
26722,KY,Riverside Generating Company,55198,PJM,NG,GAS,0.05195,1150,2016-01-05,2.33
27088,KY,Smith Generating Facility,54,PJM,NG,GAS,0.01533,1663.4,2016-01-05,2.33
27454,MD,APG Combined Heat and Power Plant,61282,PJM,NG,GAS,0.23282,7.9,2016-01-05,2.33
27820,MD,Brandywine Power Facility,54832,PJM,NG,GAS,0.53488,288.8,2016-01-05,2.33
28186,MD,Central Utility Plant at White Oak,58207,PJM,NG,GAS,0.21475,54.3,2016-01-05,2.33
28552,MD,Chalk Point,1571,PJM,NG,GAS,0.12028,2647,2016-01-05,2.33
28918,MD,Cove Point LNG Terminal,59073,PJM,NG,GAS,0.08592,228.6,2016-01-05,2.33
29284,MD,CPV St Charles Energy Center,56846,PJM,NG,GAS,0.00058,746,2016-01-05,2.33
29650,MD,Domino Sugar Baltimore,54795,PJM,NG,GAS,0.26018,20,2016-01-05,2.33
30016,MD,Gould Street,1553,PJM,NG,GAS,0.0208,103.5,2016-01-05,2.33
30382,MD,Green Machine,59282,PJM,NG,GAS,0.52511,1.7,2016-01-05,2.33
30748,MD,Inner Harbor East Heating,56050,PJM,NG,GAS,0,2.1,2016-01-05,2.33
31114,MD,Keys Energy Center,60302,PJM,NG,GAS,,829,2016-01-05,2.33
31480,MD,Mattawoman Energy Center,59662,PJM,NG,GAS,,1008,2016-01-05,2.33
31846,MD,NIH Cogeneration Facility,56668,PJM,NG,GAS,0.70428,22,2016-01-05,2.33
32212,MD,Notch Cliff,1555,PJM,NG,GAS,0.02809,144,2016-01-05,2.33
32578,MD,Perryman,1556,PJM,NG,GAS,0.1157,545.4,2016-01-05,2.33
32944,MD,Riverside,1559,PJM,NG,GAS,0.00064,257.2,2016-01-05,2.33
33310,MD,Rock Springs Generating Facility,7835,PJM,NG,GAS,0.12914,773.6,2016-01-05,2.33
33676,MD,UMCP CHP Plant,56038,PJM,NG,GAS,0.64884,27.4,2016-01-05,2.33
34042,MD,Westport,1560,PJM,NG,GAS,0.06039,121.5,2016-01-05,2.33
34408,MD,Wildcat Point Generation Facility,59220,PJM,NG,GAS,,1113.6,2016-01-05,2.33
34774,MI,Sturgis City  Diesel Plant,1855,PJM,NG,GAS,0.00116,10,2016-01-05,2.33
35140,NC,Rosemary Power Station,50555,PJM,NG,GAS,0.04756,180,2016-01-05,2.33
35506,NJ,ACI Energy Partners LLC,58442,PJM,NG,GAS,,7.8,2016-01-05,2.33
35872,NJ,Anheuser-Busch Newark Brewery,54913,PJM,NG,GAS,,13,2016-01-05,2.33
36238,NJ,"Bayonne Plant Holding, LLC",50497,PJM,NG,GAS,0.22482,191.6,2016-01-05,2.33
36604,NJ,Bergen,2398,PJM,NG,GAS,0.39168,1419.4,2016-01-05,2.33
36970,NJ,Bristol Myers Squibb Lawrenceville,58947,PJM,NG,GAS,0.67023,5.6,2016-01-05,2.33
37336,NJ,Bristol Myers Squibb New Brunswick,54829,PJM,NG,GAS,0.64415,10.5,2016-01-05,2.33
37702,NJ,Burlington Generating Station,2399,PJM,NG,GAS,0.00915,819,2016-01-05,2.33
38068,NJ,"Camden Plant Holding, LLC",10751,PJM,NG,GAS,0.20561,157,2016-01-05,2.33
38434,NJ,Carlls Corner Energy Center,2379,PJM,NG,GAS,0.02624,83.8,2016-01-05,2.33
38800,NJ,CIP II/AR Bridgewater Holdings - NJCOE,10122,PJM,NG,GAS,0.32679,8.7,2016-01-05,2.33
39166,NJ,Clayville,58235,PJM,NG,GAS,0.20259,73,2016-01-05,2.33
